timestamp,latitude,longitude,altitude,status,covariance_type,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8
1769896105431909979,43.661130416666666,-79.3947488,68.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896106439150688,43.66113615,-79.39473926666666,68.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896107457253790,43.66114198333333,-79.39472948333334,68.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896108449851939,43.66114781666667,-79.39471768333334,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896109441791217,43.6611533,-79.39470528333334,68.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896110442377479,43.6611588,-79.39469265,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896111450458473,43.661164516666666,-79.39468073333333,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896112443566263,43.66117011666667,-79.39466916666667,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896113446546992,43.66117608333333,-79.39465748333333,68.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896114447368914,43.66118168333333,-79.39464628333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896115437293700,43.661187516666665,-79.39463471666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896116453933400,43.661193366666666,-79.39462291666666,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896117441093979,43.66120015,-79.39461195,67.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896118448419490,43.66120731666667,-79.39460193333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896119433701772,43.661214216666664,-79.39459251666666,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896120447820623,43.661221016666666,-79.39458286666667,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896121440458751,43.661227933333336,-79.39457273333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896122446013815,43.66123545,-79.39456235,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896123446585642,43.6612432,-79.39455138333334,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896124454306431,43.6612513,-79.39453995,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896125447002206,43.66125916666667,-79.3945285,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896126451851132,43.66126715,-79.39451776666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896127434882539,43.6612749,-79.39450788333333,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896128480713111,43.661283133333335,-79.3944981,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896129455395360,43.661291,-79.39448785,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896130448971202,43.66129898333333,-79.39447748333333,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896131456961876,43.6613072,-79.39446723333333,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896132447972709,43.66131615,-79.39445733333334,67.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896133444635618,43.66132545,-79.39444803333333,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896134456373087,43.66133498333333,-79.39443896666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896135459453839,43.6613444,-79.39442991666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896136465508886,43.66135346666667,-79.39442061666666,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896137472533014,43.66136228333333,-79.39441131666666,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896138462477147,43.661371216666666,-79.39440213333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896139462622832,43.66138016666667,-79.39439248333333,67.0,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1769896140463992488,43.66138921666666,-79.39438235,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896141487747716,43.661398516666665,-79.39437221666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896142469417895,43.66140781666667,-79.39436243333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896143470728110,43.66141748333333,-79.3943529,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896144470566176,43.66142725,-79.39434265,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896145469581250,43.6614369,-79.3943318,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896146473730784,43.66144608333333,-79.39432023333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896147472919488,43.66145443333333,-79.39430868333334,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896148471222954,43.661463366666666,-79.39429758333333,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896149462307475,43.66147303333333,-79.39428733333334,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896150468086435,43.66148328333333,-79.39427791666667,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896151458017188,43.66149365,-79.39426933333333,67.0,0,1,0.81,0.0,0.0,0.0,0.81,0.0,0.0,0.0,3.24
1769896152462975808,43.66150401666667,-79.39426195,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
1769896153461103155,43.661514516666664,-79.3942548,67.0,0,1,0.6400000000000001,0.0,0.0,0.0,0.6400000000000001,0.0,0.0,0.0,2.5600000000000005
